geo_value,time_value,cases,deaths,doctor_visits,wili,wcli
25001,2020-02-01,,,0.255698,,
25001,2020-02-02,,,0.17336,,
25001,2020-02-03,,,0.11833,,
25001,2020-02-04,,,0.026976,,
25001,2020-02-05,,,0.0,,
25001,2020-02-06,,,0.0,,
25001,2020-02-07,,,0.0,,
25001,2020-02-08,,,0.0,,
25001,2020-02-09,,,0.014419,,
25001,2020-02-10,,,0.076253,,
25001,2020-02-11,,,0.159651,,
25001,2020-02-12,,,0.171701,,
25001,2020-02-13,,,0.196485,,
25001,2020-02-14,,,0.221399,,
25001,2020-02-15,,,0.2772,,
25001,2020-02-16,,,0.334103,,
25001,2020-02-17,,,0.352982,,
25001,2020-02-18,,,0.351605,,
25001,2020-02-19,,,0.354973,,
25001,2020-02-20,0.0,0.0,0.186852,,
25001,2020-02-21,0.0,0.0,0.071016,,
25001,2020-02-22,0.0,0.0,0.0,,
25001,2020-02-23,0.0,0.0,0.0,,
25001,2020-02-24,0.0,0.0,0.0,,
25001,2020-02-25,0.0,0.0,0.0,,
25001,2020-02-26,0.0,0.0,0.0,,
25001,2020-02-27,0.0,0.0,0.0,,
25001,2020-02-28,0.0,0.0,0.0,,
25001,2020-02-29,0.0,0.0,0.10444,,
25001,2020-03-01,0.0,0.0,0.219717,,
25001,2020-03-02,0.0,0.0,0.219009,,
25001,2020-03-03,0.0,0.0,0.265807,,
25001,2020-03-04,0.0,0.0,0.304355,,
25001,2020-03-05,0.0,0.0,0.354337,,
25001,2020-03-06,0.0,0.0,0.353922,,
25001,2020-03-07,0.0,0.0,0.403663,,
25001,2020-03-08,0.0,0.0,0.42308,,
25001,2020-03-09,0.0,0.0,0.414196,,
25001,2020-03-10,0.0,0.0,0.351322,,
25001,2020-03-11,0.0,0.0,0.171581,,
25001,2020-03-12,0.0,0.0,0.118045,,
25001,2020-03-13,0.0,0.0,0.035815,,
25001,2020-03-14,1.0,0.0,0.0,,
25001,2020-03-15,0.0,0.0,0.0,,
25001,2020-03-16,0.0,0.0,0.0,,
25001,2020-03-17,1.0,0.0,0.059743,,
25001,2020-03-18,0.0,0.0,0.103407,,
25001,2020-03-19,3.0,0.0,0.325202,,
25001,2020-03-20,4.0,0.0,0.565127,,
25001,2020-03-21,2.0,0.0,0.868055,,
25001,2020-03-22,13.0,0.0,1.027653,,
25001,2020-03-23,6.0,0.0,1.136545,,
25001,2020-03-24,10.0,0.0,1.450461,,
25001,2020-03-25,11.0,1.0,1.771106,,
25001,2020-03-26,16.0,0.0,2.188371,,
25001,2020-03-27,33.0,1.0,2.475334,,
25001,2020-03-28,33.0,0.0,2.858129,,
25001,2020-03-29,15.0,0.0,3.333708,,
25001,2020-03-30,25.0,0.0,3.707846,,
25001,2020-03-31,18.0,0.0,3.902966,,
25001,2020-04-01,64.0,1.0,3.832481,,
25001,2020-04-02,28.0,0.0,4.180156,,
25001,2020-04-03,31.0,3.0,4.270785,,
25001,2020-04-04,16.0,0.0,4.538388,,
25001,2020-04-05,17.0,0.0,4.705288,,
25001,2020-04-06,36.0,1.0,4.860971,1.081043,0.2122029
25001,2020-04-07,22.0,3.0,4.952778,0.7200033,0.3203007
25001,2020-04-08,18.0,1.0,5.157929,0.4874422,0.1829182
25001,2020-04-09,21.0,1.0,5.299333,0.431729,0.2100348
25001,2020-04-10,20.0,1.0,5.126278,0.5562406,0.3709234
25001,2020-04-11,16.0,2.0,4.935397,0.6209572,0.5066956
25001,2020-04-12,21.0,1.0,4.756696,0.5694263,0.4695858
25001,2020-04-13,1.0,1.0,4.572581,0.4626278,0.4626278
25001,2020-04-14,12.0,0.0,4.245249,0.4417173,0.4417173
25001,2020-04-15,16.0,1.0,3.867359,0.5498989,0.5498989
25001,2020-04-16,20.0,0.0,3.379761,0.6197068,0.6197068
25001,2020-04-17,23.0,2.0,2.867225,0.4337003,0.4337003
25001,2020-04-18,17.0,0.0,2.475135,0.0725497,0.0725497
25001,2020-04-19,42.0,1.0,2.187896,0.0654996,0.0654996
25001,2020-04-20,32.0,0.0,1.899326,0.0820908,0.0820908
25001,2020-04-21,8.0,1.0,1.628456,0.0,0.0
25001,2020-04-22,6.0,5.0,1.576694,0.0,0.0
25001,2020-04-23,30.0,1.0,1.948172,0.9828448,0.9828448
25001,2020-04-24,39.0,4.0,2.472013,1.1630086,1.1809228
25001,2020-04-25,9.0,5.0,3.238675,1.515634,1.5234628
25001,2020-04-26,16.0,0.0,3.938813,1.6383506,1.6413884
25001,2020-04-27,26.0,2.0,4.620079,1.6061445,1.6075034
25001,2020-04-28,22.0,0.0,5.273273,1.5211754,1.518105
25001,2020-04-29,22.0,1.0,5.7712,1.5429516,1.5309124
25001,2020-04-30,18.0,3.0,6.276081,0.7474875,0.735993
25001,2020-05-01,42.0,2.0,6.811385,0.5407857,0.5407857
25001,2020-05-02,35.0,1.0,7.230221,0.1601252,0.1601252
25001,2020-05-03,9.0,1.0,7.502804,0.0,0.0
25001,2020-05-04,15.0,0.0,7.565983,0.0,0.0
25001,2020-05-05,8.0,1.0,7.189274,0.0,0.0
25001,2020-05-06,28.0,7.0,6.132979,0.0,0.0
25001,2020-05-07,24.0,2.0,5.231619,0.0,0.0
25001,2020-05-08,17.0,4.0,4.755289,0.0,0.0
25001,2020-05-09,18.0,5.0,4.766673,0.0,0.0
25001,2020-05-10,12.0,2.0,4.803335,0.0,0.0
25001,2020-05-11,7.0,5.0,4.84432,0.0,0.0
25001,2020-05-12,18.0,0.0,5.824036,0.0,0.0
25001,2020-05-13,18.0,6.0,6.576555,0.0,0.0
25001,2020-05-14,8.0,3.0,6.929395,0.0,0.0
25001,2020-05-15,18.0,4.0,6.263054,0.0,0.0
25001,2020-05-16,10.0,4.0,5.710056,0.0,0.0
25001,2020-05-17,3.0,3.0,5.198768,0.3023474,0.3023474
25001,2020-05-18,5.0,2.0,4.858805,0.3995647,0.3995647
25001,2020-05-19,22.0,1.0,4.927645,0.4246649,0.4246649
25001,2020-05-20,20.0,2.0,4.713135,0.4068544,0.4068544
25001,2020-05-21,5.0,1.0,4.418172,0.4237005,0.4237005
25001,2020-05-22,55.0,4.0,4.142257,0.4355596,0.4355596
25001,2020-05-23,7.0,4.0,3.899183,0.4215374,0.4215374
25001,2020-05-24,5.0,2.0,3.672173,0.1013938,0.1013938
