region,epiweek,year,month,symptom:Fever,symptom:Low-grade fever,symptom:Cough,symptom:Sore throat,symptom:Headache,symptom:Fatigue,symptom:Vomiting,symptom:Diarrhea,symptom:Shortness of breath,symptom:Chest pain,symptom:Dizziness,symptom:Confusion,symptom:Generalized tonic–clonic seizure,symptom:Weakness,ili
AK,201734,2017,8,3.7,0.0,5.32,2.26,4.7,5.25,3.14,4.6,0.71,1.43,1.95,0.31,0.29,0.52,0.751366
AK,201735,2017,8,3.9,0.15,6.5,2.9,4.47,5.26,3.06,4.61,0.68,1.32,1.75,0.17,0.0,0.44,1.03806
AK,201736,2017,9,4.12,0.0,7.03,3.0,4.92,5.39,3.58,4.79,0.61,1.23,1.69,0.17,0.17,0.4,1.60056
AK,201737,2017,9,3.89,0.0,6.73,2.52,4.81,5.87,3.17,4.91,0.55,1.48,2.0,0.0,0.33,0.46,1.92308
AK,201738,2017,9,4.13,0.25,7.05,2.52,4.96,5.97,3.17,4.78,0.89,1.53,1.78,0.12,0.29,0.68,2.03224
AK,201739,2017,9,4.07,0.13,6.82,2.75,4.95,5.88,3.14,4.81,0.79,1.53,1.94,0.19,0.16,0.54,1.7673
AK,201740,2017,10,4.0,0.2,6.67,2.36,4.84,5.93,3.15,4.55,0.9,1.43,1.8,0.27,0.15,0.38,2.72675
AK,201741,2017,10,4.03,0.0,7.39,2.7,4.9,5.98,3.25,4.8,0.89,1.55,1.8,0.35,0.45,0.43,2.74487
AK,201742,2017,10,4.65,0.16,7.74,2.83,5.31,5.9,3.64,5.05,0.9,1.39,1.8,0.3,0.43,0.53,3.72405
AK,201743,2017,10,4.19,0.23,8.08,2.6,5.04,5.85,3.6,5.37,0.72,1.44,1.98,0.34,0.29,0.43,3.28407
AK,201744,2017,10,4.36,0.0,7.39,2.77,5.21,5.99,3.37,4.98,0.83,1.44,1.75,0.4,0.35,0.54,2.76712
AK,201745,2017,11,4.78,0.14,7.35,2.98,5.77,5.64,3.35,4.68,0.7,1.57,1.97,0.26,0.0,0.51,2.97049
AK,201746,2017,11,4.48,0.13,7.67,2.78,5.14,5.54,3.23,4.75,0.78,1.63,1.88,0.39,0.35,0.49,3.41268
AK,201747,2017,11,4.72,0.0,7.37,3.0,4.85,4.97,3.34,4.71,0.85,1.43,1.73,0.27,0.26,0.52,3.45056
